level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2257	3193	-1	
2	1	1	0	0	0	0	400	261	772	-1	
3	1	1	1	0	0	0	400	261	772	-1	
4	1	1	1	1	0	0	400	250	57	-1	
5	1	1	1	1	1	0	400	250	57	95	  
4	1	1	1	2	0	0	457	250	47	-1	
5	1	1	1	2	1	0	457	250	47	95	 
4	1	1	1	3	0	0	504	254	69	-1	
5	1	1	1	3	1	0	504	254	69	95	 
4	1	1	1	4	0	128	573	128	121	-1	
5	1	1	1	4	1	128	573	128	121	95	   
4	1	1	1	5	0	132	694	110	119	-1	
5	1	1	1	5	1	132	694	110	119	95	  
4	1	1	1	6	0	144	813	98	62	-1	
5	1	1	1	6	1	144	813	98	62	95	 
4	1	1	1	7	0	146	875	115	172	-1	
5	1	1	1	7	1	146	875	115	172	95	    
4	1	1	1	8	0	172	1047	88	125	-1	
5	1	1	1	8	1	172	1047	88	125	95	   
2	1	2	0	0	0	250	366	760	246	-1	
3	1	2	1	0	0	270	366	704	61	-1	
4	1	2	1	1	0	313	366	661	61	-1	
5	1	2	1	1	1	270	377	20	14	76	A
5	1	2	1	1	2	313	367	198	60	62	principio
5	1	2	1	1	3	520	376	139	40	0	ceeait
5	1	2	1	1	4	665	373	85	44	8	us
5	1	2	1	1	5	758	366	75	50	23	clit
5	1	2	1	1	6	857	384	117	31	52	cus
3	1	2	2	0	0	250	426	760	186	-1	
4	1	2	2	1	0	250	426	751	52	-1	
5	1	2	2	1	1	250	447	18	21	88	et
5	1	2	2	1	2	288	437	145	40	0	tera
5	1	2	2	1	3	441	465	13	12	74	.
5	1	2	2	1	4	464	426	110	52	60	Decca
5	1	2	2	1	5	583	436	132	40	54	autem
5	1	2	2	1	6	724	436	79	40	53	erat
5	1	2	2	1	7	810	427	145	51	73	inanis
5	1	2	2	1	8	964	439	37	38	70	et
4	1	2	2	2	0	254	485	748	64	-1	
5	1	2	2	2	1	254	497	147	52	32	Yara:
5	1	2	2	2	2	407	487	174	62	0	terrebre
5	1	2	2	2	3	586	485	77	50	10	eeat
5	1	2	2	2	4	669	485	92	59	0	Liye
5	1	2	2	2	5	767	486	93	49	53	facie
5	1	2	2	2	6	869	486	133	51	64	abilli:
4	1	2	2	3	0	256	545	754	67	-1	
5	1	2	2	3	1	256	555	35	49	65	ot
5	1	2	2	3	2	299	546	155	66	66	fpivitus
5	1	2	2	3	3	463	547	73	50	39	Dit
5	1	2	2	3	4	546	545	163	51	53	ferebatur
5	1	2	2	3	5	711	545	136	58	65	fuper
5	1	2	2	3	6	856	556	154	46	3	aguas.
2	1	3	0	0	0	152	663	851	181	-1	
3	1	3	1	0	0	134	650	869	194	-1	
4	1	3	1	1	0	261	663	739	69	-1	
5	1	3	1	1	1	134	650	51	45	27	e
5	1	3	1	1	2	222	661	24	65	5	))
5	1	3	1	1	3	261	664	164	68	47	Ervinit
5	1	3	1	1	4	438	670	97	46	41	Deus
5	1	3	1	1	5	543	664	117	49	31	luce
5	1	3	1	1	6	670	676	40	51	66	mp
5	1	3	1	1	7	726	663	80	50	41	effec
5	1	3	1	1	8	815	665	116	49	79	bona
5	1	3	1	1	9	933	675	22	55	74	:
5	1	3	1	1	10	964	676	36	38	65	ec
4	1	3	1	2	0	174	723	829	70	-1	
5	1	3	1	2	1	174	736	72	52	8	9
5	1	3	1	2	2	260	723	134	51	53	Diuilit
5	1	3	1	2	3	400	724	91	67	57	luce
5	1	3	1	2	4	490	735	66	39	59	a
5	1	3	1	2	5	562	724	166	49	23	rencbrts
5	1	3	1	2	6	737	748	11	12	63	-
5	1	3	1	2	7	757	723	246	70	46	aypellauitg;
4	1	3	1	3	0	152	782	850	62	-1	
5	1	3	1	3	1	152	789	72	41	32	GP
5	1	3	1	3	2	242	784	125	60	0	luce
5	1	3	1	3	3	366	788	124	45	77	Diem
5	1	3	1	3	4	499	796	24	36	34	2
5	1	3	1	3	5	533	782	178	51	31	ceucbras
5	1	3	1	3	6	722	783	154	49	60	node.
5	1	3	1	3	7	881	782	121	58	0	Facku
2	1	4	0	0	0	53	901	976	1889	-1	
3	1	4	1	0	0	14	901	1015	1889	-1	
4	1	4	1	1	0	261	901	754	65	-1	
5	1	4	1	1	1	261	912	130	48	0	quogs
5	1	4	1	1	2	400	907	118	45	89	Deus.
5	1	4	1	1	3	527	901	97	59	72	frat
5	1	4	1	1	4	631	902	247	64	43	firmament
5	1	4	1	1	5	887	901	42	49	85	in
5	1	4	1	1	6	937	912	78	38	65	me-
4	1	4	1	2	0	261	961	756	65	-1	
5	1	4	1	2	1	171	1008	5	15	43	e
5	1	4	1	2	2	237	962	98	50	0	/DiO
5	1	4	1	2	3	344	962	159	55	0	aquarid
5	1	4	1	2	4	512	972	15	37	53	:
5	1	4	1	2	5	537	971	35	39	78	ec
5	1	4	1	2	6	588	962	160	49	0	Diudat
5	1	4	1	2	7	756	970	142	55	91	aquas
5	1	4	1	2	8	911	961	53	48	92	ab
5	1	4	1	2	9	974	971	43	55	80	a-
4	1	4	1	3	0	184	1020	831	59	-1	
5	1	4	1	3	1	184	1024	8	14	9	—
5	1	4	1	3	2	218	1020	219	61	24	4quis.£t
5	1	4	1	3	3	444	1022	79	47	67	fecit
